ETC Registers

Sl.no,Register Address,Value
1321,d528,0000
1322,d529,0000
1323,d52a,0000
1324,d52b,0000
1325,d52c,0000
1326,d52d,0000
1327,d52e,0000
1328,d52f,0000
1329,d530,0000
1330,d531,0000
1331,d532,0000
1332,d533,0000
1333,d534,0000
1334,d535,0000
1335,d536,0000
1336,d537,0000
1337,d538,0000
1338,d539,0000
1339,d53a,0000
1340,d53b,0000
1341,d53c,0000
1342,d53d,0000
1343,d53e,0000
1344,d53f,0000
1345,d540,0000
1346,d541,0000
1347,d542,0000
1348,d543,0000
1349,d544,0000
1350,d545,0000
1351,d546,0000
1352,d547,0000
1353,d548,0000
1354,d549,0000
1355,d54a,0000
1356,d54b,0000
1357,d54c,0000
1358,d54d,0000
1359,d54e,0000
1360,d54f,0000
1361,d550,0000
1362,d551,0000
1363,d552,0000
1364,d553,0000
1365,d554,0000
1366,d555,0000
1367,d556,0000
1368,d557,0000
1369,d558,0000
1370,d559,0000
1371,d55a,0000
1372,d55b,0000
1373,d55c,0000
1374,d55d,0000
1375,d55e,0000
1376,d55f,0000
1377,d560,0000
1378,d561,0000
1379,d562,0000
1380,d563,0000
1381,d564,0000
1382,d565,0000
1383,d566,0000
1384,d567,0000
1385,d568,0000
1386,d569,0000
1387,d56a,0000
1388,d56b,0000
1389,d56c,0000
1390,d56d,0000
1391,d56e,0000
1392,d56f,0000
1393,d570,0000
1394,d571,0000
1395,d572,0000
1396,d573,0000
1397,d574,0000
1398,d575,0000
1399,d576,0000
1400,d577,0000
1401,d578,0000
1402,d579,0000
1403,d57a,0000
1404,d57b,0000
1405,d57c,0000
1406,d57d,0000
1407,d57e,0000
1408,d57f,0000
1409,d580,0000
1410,d581,0000
1411,d582,0000
1412,d583,0000
1413,d584,0000
1414,d585,0000
1415,d586,0000
1416,d587,0000
1417,d588,0000
1418,d589,0000
1419,d58a,0000
1420,d58b,0000
1421,d58c,0000
1422,d58d,0000
1423,d58e,0000
1424,d58f,0000
1425,d590,0000
1426,d591,0000
1427,d592,0000
1428,d593,0000
1429,d594,0000
1430,d595,0000
1431,d596,0000
1432,d597,0000
1433,d598,0000
1434,d599,0000
1435,d59a,0000
1436,d59b,0000
1437,d59c,0000
1438,d59d,0000
1439,d59e,0000
1440,d59f,0000
1441,d5a0,0000
1442,d5a1,0000
1443,d5a2,0000
1444,d5a3,0000
1445,d5a4,0000
1446,d5a5,0000
1447,d5a6,0000
1448,d5a7,0000
1449,d5a8,0000
1450,d5a9,0000
1451,d5aa,0000
1452,d5ab,0000
1453,d5ac,0000
1454,d5ad,0000
1455,d5ae,0000
1456,d5af,0000
1457,d5b0,0000
1458,d5b1,0000
1459,d5b2,0000
1460,d5b3,0000
1461,d5b4,0000
1462,d5b5,0000
1463,d5b6,0000
1464,d5b7,0000
1465,d5b8,0000
1466,d5b9,0000
1467,d5ba,0000
1468,d5bb,0000
1469,d5bc,0000
1470,d5bd,0000
1471,d5be,0000
1472,d5bf,0000
1473,d5c0,0000
1474,d5c1,0000
1475,d5c2,0000
1476,d5c3,0000
1477,d5c4,0000
1478,d5c5,0000
1479,d5c6,0000
1480,d5c7,0000
1481,d5c8,0000
1482,d5c9,0000
1483,d5ca,0000
1484,d5cb,0000
1485,d5cc,0000
1486,d5cd,0000
1487,d5ce,0000
1488,d5cf,0000
1489,d5d0,0000
1490,d5d1,0000
1491,d5d2,0000
1492,d5d3,0000
1493,d5d4,0000
1494,d5d5,0000
